main_category,title,average_rating,rating_number,features,description,price,store,categories,details,parent_asin
All Beauty,JPNK 4PCS Anti-Static Detangling Fine & Wide Tooth Shower Comb Set,4.1,58,[],[],,JPNK,[],"{'Material': 'Plastic', 'Brand': 'JPNK', 'Hair Type': 'Wavy,Straight', 'Unit Count': '1.00 Count', 'Package Dimensions': '12 x 3.1 x 0.7 inches; 5.61 Ounces'}",B081ZN3TD5
All Beauty,Best Mom Ever French Milled Luxury Soap Set of 3 Bars (6.35oz),4.2,18,[],[],,Jolitee,[],"{'Item Form': 'Bar', 'Skin Type': 'All', 'Brand': 'Jolitee', 'Scent': 'Lavender, Jasmine, Rose, Chocolate, Chamomile, Verbena, Lemon', 'Age Range (Description)': 'Adult', 'Package Dimensions': '8.6 x 2.7 x 1.6 inches; 1.35 Pounds', 'UPC': '659682147574'}",B07Q4YCBWD
All Beauty,Dalin 3D Nail Art Tips Stickers False Flower Nail Design Manicure Decals Nail Art Water Nail Art Decal/Tattoo/Sticker XF1028,3.1,6,[],[],,,[],{},B00VKARK8Y
All Beauty,"MoYo Natural Labs 8 oz Spray Bottles Fine Mist Empty Travel Containers, BPA Free PET Plastic for Essential Oils and Liquids/Cosmetics (Pack of 2, Blue)",4.1,186,"['NO LEAKING RELIABLE SCREW ON pump mist spray smaller size but put out a good amount of liquid mist spray bottles with reliable screw-on pump mist spray mist that give you peace of mind. Perfect for all of your toiletry or food or liquid items that you wish to store as no spill bottles in your luggage.', 'BPA FREE MoYo Natural Labs spray bottle 8 ounce is ideal as a hairdressing mist bottle and an 8-ounce spray bottle for essential oils, essential skin and body care products. Designed to last, MoYo Natural Labs 8 oz plastic bottles will save you money and hassle.', 'SPRAY MIST BOTTLES ARE TRANSLUCENT and help quickly identify contents inside this 8 oz atomizer spray bottle.', ""WE'RE THAT CONFIDENT THAT YOU'LL love your new 8-ounce body spray bottle and will continue to use MoYo Natural Labs plastic travel containers in the future."", ""OUR MIST SPRAY BOTTLE PROMISE If your body spray bottles for travel becomes compromised or leak in the first year *even if it is your fault* we'll replace your spray bottles, just let us know.""]","['MoYo Natural Labs SPRAY BOTTLE 8 OZ HDPE plastic designated by a recyclable does not contain BPA. This leak proof plastic spray bottle BPA free set and made in the USA.', 'MoYo Natural Labs plastic spray bottle 8 oz, reusable, refillable, washable plastic spray plastic bottle is a durable spray oil bottle. Industrial strength plastic spray bottle BPA free for liquids can be used for many of your house cleaning, traveling accessories, essential oil, hairspray and skin care needs including perfume and cologne; a safe plastic water bottle.', 'Designed to last, MoYo Natural Labs 8 oz water bottles that spray mist will save you money and hassle.', 'MoYo Natural Labs spray bottle 8 ounce is ideal as a hair dressing spray bottle and a plastic spray bottle for essential oils, essential skin and body care products.', ""OUR PROMISE! If these mist bottles from MoYo Natural Labs become compromised or leak in the first year, we'll replace your hand spray bottle, even if it is your fault. We're that confident that you'll love your new 8 ounce body spray bottle and will continue to use MoYo Natural Labs 8 oz containers in the future."", 'CLICK the ""Add to Cart"" button to order the MoYo Natural Labs spray bottle 8 oz Travel Bottle Set and travel bottle containers. today!']",8.99,MoYo Natural Labs,[],"{'Brand': 'MoYo Natural Labs', 'Color': 'Blue', 'Capacity': '8 Ounces', 'Number of Items': '2', 'Item Dimensions LxWxH': '4 x 1.75 x 4 inches', 'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '4 x 1.75 x 4 inches; 2.4 Ounces', 'Item model number': '8OZBLUEFM2PACK', 'UPC': '641938711219', 'Manufacturer': 'MoYo Natural Labs'}",B08MVFKSQ8
All Beauty,Facial Mask-Mud Magick Botanicals 3 oz Cream,3.6,2,['Facial Mask-Mud - 3 oz - Cream'],['Facial Mask-Mud by Magick Botanicals 3 oz Cream Magick Mud Facial Masque 3 oz Makes 20 Facials Ingredients Clay Barley Rosemary Mint Kelp Rosehips Ascorbic Acid (Vitamin-C) Homeopathic Cell Salts Allantoin.'],,thebestton,[],"{'Brand': 'Thebestton', 'Item Form': 'Clay', 'Scent': 'Mint, Rosemary', 'Skin Type': 'Sensitive', 'Unit Count': '1.00 Count', 'Package Dimensions': '5.7 x 3.1 x 0.6 inches; 0.35 Ounces', 'Item model number': '000469007060', 'UPC': '890124790884 000469007060', 'Manufacturer': 'Magick Botanicals'}",B00028NLKG
All Beauty,"Kidskin- Foaming Body Wash with Tea Tree Oil- Helps Combat Body and Foot Odor and Stubborn Body Acne and Skin Issues - Cruelty Free, Gluten Free, Paraben Free, Sulfate Free, Unscented, and Vegan- Made in USA",4.0,49,"['KIDSKIN was created with a mission to provide pre teens and teens with GENTLE YET EFFECTIVE skincare and personal hygiene products. Kidskin’s products are created with ALL SKIN TYPES in mind, from sensitive to rosacea prone. Teens should feel both fresh and confident to tackle the day- every day.', 'ACTIVE INGREDIENT TEA TREE OIL reduces redness calms irritation in problematic and compromised skin. REDUCES SWELLING in both body acne and bacterial/ fungal skin issues teens are commonly prone to.', 'Allantoin and Bisabolol help soothe irritation by penetrating deep into the skin for long lasting hydration. 100% NATURAL skin soothing ingredients are safe for every day use to help combat body odor.', 'PARABEN, SULFATE, FRAGRANCE, VEGAN, AND GLUTEN FREE. We’re striving every day to help parents by offering high quality skincare products for their kids. All of our products are paraben free, fragrance free, sulfate free, and cruelty free.', 'DERMATOLOGIST AND PEDIATRICIAN RECOMMENDED- Made with care in the USA, the Kidskin Foaming Body Wash is recommended by dermatologists and pediatricians.']","['Kidskin Foaming Body Wash with Tea Tree Oil is designed exclusively for teens, tweens, pre teens, and boys and girls to work as an effective, yet gentle body wash. Natural ingredients like Allantoin and Bisabolol nourish beyond surface level, and penetrate into the lower levels of the skin for the deepest hydration possible, while active ingredient tea tree oil works to fight body acne and skin issues teens are commonly prone to. Unlike shower bars and other soaps, our products are designed to soothe problematic and compromised skin. With 100% Natural ingredients that are paraben, sulfate, fragrance, and gluten free, the Kidskin Foaming Body Wash with Tea Tree Oil is gentle enough for every day use. Our mission is to provide teens (like our own!) with a body wash that leaves them feeling fresh and confident so they can focus on what really matters- every day. Ingredients: Water (Aqua), Cocamidopropyl Betaine, Sodium Cocoyl Glutamate, Disodium Cocoyl Glutamate, Musa Sapientum (Banana) Extract, Polysorbate-20, Sodium Lauroyl Sarcosinate, ^ Glycerin, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Sea Salt (Sodium Chloride), Tetrasodium EDTA, Citric Acid, Allantoin, Bisabolol']",,Kidskin,[],"{'Item Form': 'Bar, Foam', 'Skin Type': 'Sensitive', 'Brand': 'Kidskin', 'Scent': 'Tea Tree', 'Material Feature': 'Cruelty Free', 'Package Dimensions': '7.83 x 2.83 x 2.24 inches; 8 Ounces', 'Item model number': '4012', 'UPC': '880628401263', 'Manufacturer': 'Kidskin'}",B08WHBSK6R
All Beauty,"T Part Lace Front Wig For Black Woman Lace Wig Human Hair Wig Brazilian Virgin Human Lace Front Wig Straight Bob Wig 613 Blonde Short Bob Wigs(8 inch, 613#)",3.5,38,[],[],,PLADIO,[],"{'Material': 'Human Hair', 'Hair Type': 'Straight', 'Brand': 'PLADIO', 'Age Range (Description)': 'Adult', 'Style': 'Modern', 'Package Dimensions': '8.6 x 7.7 x 2.1 inches; 4.8 Ounces'}",B07XYVPQQK
All Beauty,YouClean 300 Antibacterial Travel Hand Soap Sheets - Pocket/Purse/Wallet/Backpack -Great for Outdoor Camping or Daily Use (Tea Party) (Tea Party),3.6,35,"['PORTABLE TRAVEL SIZE -- Each YouClean collection has 3 tiny boxes (2 x 1 x 0.25 inches) (5 x 2.5 x 0.5 cm) which nicely fit in any purse/ wallet, handbag, pack-backs that come in handy everywhere and at any time. These portable soap sheets are small, light and zero-waste which makes them perfect for travel, hiking, camping, school trips and convenient at workplaces.', 'FOAMING, MOITURIZING & NOURISHING SKIN -- YouClean hand soap sheet quickly dissolves to create a foaming lather. It is made with high quality, all-natural plant-based ingredients, nourish and moisturize your skin with flower/fruit essential oils.', 'WONDERFUL AROMATHERAPY with ESSENTIAL OILS -- YouClean 8 scent collections will keep your wallet, handbag, pack backs, or pockets smell good all the time. We also have The Nonsense (unscented) which is suitable for professional working environments.', 'EASY-TO-USE -- Take out a YouClean soap sheet with dry hands. Add water and rub hands to form a lather. Rinse, dry and enjoy your clean hands. It is suitable for all skin types and whole body. It can be used as shampoo or body wash, if needed.', 'NO PLASTIC PACKAGING with 100% biodegradable paper packaging. We are fighting with the plastic waste by being part of the solution. GREEN EARTH IS OUR GOAL - KEEP YouClean IS YOUR MISSION!']","['Brand:', 'YouClean', 'Item Form:', 'Sheet', 'Formulation:', 'Concentrated plant-based soap', 'Scent:', 'Tea Party (Chamomile, Green Tea, Tea Tree)', 'Package Box Size:', '2 x 1 x 1.5 inch', 'www.shopyouclean.com', ""We are changing our packaging. No more small plastic cases!   Our new packaging is 100% biodegradable paper. All 300 sheets are tightly packed in 3 tiny paper boxes (100 sheets/box) which nicely fit in any purse/wallet, handbag, and kids' pack-backs.   Check out our 9 scent collections:   - Tea Party  - Citrus Collection  - Purple Heart  - Pink Pamper  - Red Passion  - Blanca Elegance  - Seaside Vacation  - The Adventure  - The Nonsense (unscented)""]",13.87,YouClean,[],"{'Item Form': 'Sheet', 'Skin Type': 'All', 'Brand': 'YouClean', 'Scent': 'Tea Party', 'Material Type Free': 'Plastic Free, Chemical Free (Not containing Sulfate, Phosphate, Paraffin, Phthalate, Gluten, Lead, Palm Oil and Mineral Oil)Plastic Free, Chemical Free (Not containing Sulfate, Phosphate, Paraffin, Phthalate, Gluten, Lead, Palm Oil and Mineral Oil)  See more', 'Product Dimensions': '2 x 1 x 1.25 inches; 2.4 Ounces', 'UPC': '609670421100', 'Manufacturer': 'YouClean'}",B0C5V83YMB
All Beauty,CANMAKE Powder Cheeks PW43 Coral Hologram 4g,4.0,31,[],"['Cheeks glimmering with light-polarizing pearl Coral♥ for the ultimate luster! PW43 Coral Hologram Pearl Type Coral with alluring light-polarizing pearl Smooth and moist oil in cheek Oil-In-Base Formula ● Contains fresh moisturize powder, which makes your skin moisturize with smooth and silky texture. Formulation designed to cling to your cheeks!!! ● Contains a long-lasting effect powder you can be sure your cheeks will keep looking soft and cute, absorbing extra sebum. Contains 8 types of beautifying and moisturizing agents ♡ Hyaluronic acid, glycerin, ectoin, squalane, grapeseed oil, honey, royal jelly extract, and apple fruit extract']",10.0,CANMAKE,[],"{'Brand': 'CANMAKE', 'Item Form': 'Powder', 'Finish Type': 'Matte', 'Coverage': 'Light', 'Skin Tone': 'All', 'Product Dimensions': '2.01 x 1.97 x 0.43 inches; 0.14 Ounces'}",B07SSFL9T5
All Beauty,Remy Human Hair Pieces Front Clip in Hair #1B Natural Black Fringe Hair Extensions with Hair Temples,3.7,22,[],[],,,[],"{'Material': 'Human Hair', 'Hair Type': 'Straight', 'Material Feature': 'Natural', 'Installation Type': 'Clip-In', 'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '9 x 1 x 1 inches; 0.48 Ounces', 'UPC': '615517482166'}",B07BXHZLV4
All Beauty,"TULA Probiotic Skin Care Supersize 24-7 Moisture Hydrating Day & Night Cream | Holiday 2020, Ageless is the New Anti-Aging, Face Cream, Contains Watermelon Fruit and Blueberry Extract | 3.4 oz",4.7,149,[],[],,TULA,[],"{'Brand': 'TULA', 'Scent': 'Watermelon', 'Item Form': 'Cream', 'Unit Count': '3.4 Ounce', 'Number of Items': '1', 'Package Dimensions': '5.43 x 5.16 x 3.43 inches; 3.4 Ounces', 'UPC': '850014698355'}",B08WF29DM9
All Beauty,"Makeup Sponge Set , Foundation Round Makeup Blender Sponges , Mini Egg Beauty Blenders, Flawless for Cream, Powder Makeup Sponges (Green)",4.5,714,[],[],4.5,TIANG,[],"{'Brand': 'TIANG', 'Color': 'Green', 'Material': 'Sponge', 'Item Dimensions LxWxH': '5.67 x 5.67 x 2.36 inches', 'Skin Type': 'All', 'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '5.67 x 5.67 x 2.36 inches; 3.53 Ounces', 'UPC': '757249753012'}",B09JC2GTVD
All Beauty,"Healing Clay Mud Mask for Deep Pore Cleansing - Best Face Mask for Acne, Oily Skin & Blackheads - Reduces Wrinkles & Minimizes Pores - Organic and Natural Skin Cleanser & Therapeutic Spa Mask – 2oz",3.6,89,[],[],,Derma-nu Miracle Skin Remedies,[],"{'Brand': 'Derma-nu Miracle Skin Remedies', 'Item Form': 'Clay', 'Product Benefits': 'Cleansing', 'Scent': 'Coconut', 'Skin Type': 'All', 'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '1 x 1 x 4 inches; 2.56 Ounces', 'UPC': '787421301601'}",B0182Y1IUG
All Beauty,"OULAC Shine to Shine Velvet Matte Lipstick, Long Lasting Creamy Formula, Opaque Finish, Vegan Friendly, 3.6 grams / 0.12 ounces, Cranberries (Y09)",3.7,47,[],[],,Oulac,[],"{'Brand': 'Oulac', 'Item Form': 'Cream', 'Finish Type': 'Matte,Velvet', 'Product Benefits': 'Long Lasting,Shine', 'Age Range (Description)': 'Adult', 'Product Dimensions': '3.9 x 0.68 x 0.68 inches; 1.23 Ounces', 'Item model number': 'velvet-matte-Y09'}",B08JCZH7XW
All Beauty,Ownsig 1Pair Lady Crystal Flower Rhinestone Earrings Front anf Back Ear Stud,3.7,232,[],[],,Hithop,[],"{'Is Discontinued By Manufacturer': 'No', 'Package Dimensions': '4.49 x 2.76 x 0.39 inches; 0.63 Ounces', 'Item model number': '8040090', 'UPC': '794168040090 701466814407'}",B00YQTQ9I8
All Beauty,"OxygenCeuticals 360 Eye Perfection Duo, Advanced Anti-Aging Eye Treatment Set, 2 Products, Eye Cream 35ml/18 oz & Eye Gel Serum 15ml/0.5 oz, Visibly Reduce Under-Eye Bags, Puffiness, Wrinkles, Dark Circles, Fine Lines & Crow's Feet, for Women & Men",4.1,22,"['<p>💧 EYE CREAM & EYE SERUM FOR MEN AND WOMEN - This is a complete eye care kit for your aging skin. A rich, fast-absorbing eye care set developed in Korea targets five types of wrinkles that appear around the delicate eye area, including lid creases, crow’s feet, and fine lines caused by puffiness.</p>', '<p>💧 ANTI AGING EYE CARE - Our gentle eye care kit helps immediately moisturize and fill wrinkles, minimizing the appearance of fine lines, bags under the eyes. An anti-aging day and night cream ideal for all skin types.</p>', '<p>💧FIRMS, RESTORES, & SMOOTHS -The breakthrough WrinkleResist24 technology—formulated with adensoine, squalene, and niacinamide—visibly smooths and restores, while burnet extract visibly firms. Hydrolyzed collagen supports collagen production and super bio-hyaluronic acid N instantly refreshes tired eyes by plumping the appearance skin. </p>', '<p>💧 NO PARABENS, SULFATES, PHTHALATES - This product contains 86.4 percent natural ingredients, and like all OxygenCeuticals formulations, it is free of petrolatum, mineral oil, silicones, propylene glycol, parabens and gluten. </p>', '<p>💧 DERMATOLOGIST RECOMMENDED SKIN CARE PRODUCTS - OxygenCeuticals has grown to be a trusted medical aesthetic skincare brand, and its products are used by dermatologists, plastic surgeons and medical aesthetic professionals in more than 600 famous aesthetic institutions in South Korea alone. The medical aesthetic professionals use OxygenCeuticals products to complement before and after laser skin care procedures.</p>']",[],88.0,OxygenCeuticals,[],"{'Skin Type': 'All', 'Product Benefits': 'Anti-Aging', 'Use for': 'Eyes', 'Scent': 'Aloe', 'Special Ingredients': 'Adenosine, Niacinamide, Hydrolyzed collagen', 'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '0.67 x 0.67 x 5.71 inches; 7.05 Ounces', 'Item model number': 'OCR700000'}",B0777QHNLR
All Beauty,Floral Crown Green Headpiece Bridal Accessories Wedding Crown (Head-comb) (Purple),4.7,2,[],[],,Easin,[],"{'Age Range (Description)': 'Child', 'Brand': 'Easin', 'Unit Count': '3.2 Ounce', 'Package Dimensions': '4.88 x 2.83 x 2.76 inches; 2.4 Ounces', 'UPC': '782912565616'}",B08J2LY93D
All Beauty,Vitamin C Serum for Face - C Booster With Hyaluronic Acid and Vitamin E - Anti Wrinkle - Anti Aging - Skin Repair For Age Spots and Sun Damage - For Men and Women,3.5,82,[],[],,,[],"{'Item Form': 'Oil', 'Number of Items': '1', 'Use for': 'Face', 'Skin Type': 'All', 'Item Volume': '30 Milliliters', 'Is Discontinued By Manufacturer': 'No', 'Package Dimensions': '5.04 x 1.97 x 1.73 inches; 4.23 Ounces'}",B016MNB4HQ
All Beauty,Galaxy Print Nail Stickers - 3 Pack (42 Total Nail Art Wraps) Shooting Stars for Easy Nail Art and Pretty Nails That Are Out of This World - Great for Star Wars Fans,3.3,66,[],[],,,[],"{'Item Dimensions LxWxH': '6 x 2.75 x 0.1 inches', 'Surface Recommendation': 'Nail', 'Theme': 'Space, Movie', 'Age Range (Description)': 'Adult', 'Reusability': 'Single Use', 'Pattern': 'Star', 'Product Dimensions': '6 x 2.75 x 0.1 inches; 0.8 Ounces', 'UPC': '736283174175'}",B017F2OH2M
All Beauty,19pc LA Girl Gel Glide Eyeliner Pencil set of 19 color #GP351-369,4.6,317,[],[],36.95,L.A. Girl,[],"{'Brand': 'L.A. Girl', 'Item Form': 'Gel,Pencil', 'Finish Type': 'Shimmery', 'Special Feature': 'Travel size', 'Number of Items': '1', 'Is Discontinued By Manufacturer': 'No', 'Package Dimensions': '5.5 x 5.1 x 0.6 inches; 3.99 Ounces', 'Item model number': 'GP', 'UPC': '787734416467 811901015839', 'Manufacturer': 'L.A. Girl'}",B00TAHJOYC
All Beauty,Benton Aloe Propolis Soothing Gel & Benton Cleansing Foam with 2 Benton Masks ( Bundle ),3.8,6,[],[],,MUDSHI,[],"{'Is Discontinued By Manufacturer': 'No', 'Package Dimensions': '6.85 x 3.94 x 2.2 inches; 11.22 Ounces', 'UPC': '608119365302'}",B06XF82JVQ
All Beauty,"Claw Hair Clips, IKOCO 6 Pack Jaw Clips Stylish Matte Plastic Strong Hold Hair Clamps Box Packaged for Thin Fine Hair with 10Pcs Black Hair ties (2.4Inch)",4.4,122,[],[],,IKOCO,[],"{'Brand': 'IKOCO', 'Hair Type': 'Fine', 'Color': 'Green,Grey', 'Age Range (Description)': 'Adult', 'Material': 'Plastic, Metal, Acrylic', 'Product Dimensions': '6.25 x 4.25 x 2 inches; 5.89 Ounces'}",B08HMLXW65
All Beauty,New Balance Unisex Grid Fleece Headband,4.5,25,"['polyester,polyester blend', ""What's Included: 1 New Balance Unisex Grid Fleece Headband, suitable for both men and women."", 'Ultimate Comfort: Made with our 360 Stretch Technology and the perfect polyester blend, you can stay assured that it stays comfortable everytime you wear.', ""Features: Made with 95% Polyester and 5% Spandex blend, it helps wick moisture and keep you dry during your activities. With New Balance's Grid Fleece technology and a reflective logo, it’s the perfect headband for any occasion."", 'Perfect For: skiing, motorcycling, running, biking, trekking, mountain climbing, snowboarding, cycling and other outdoor activities, keep your ears warm in the winter.', 'Washer and dryer safe! You can machine wash our products on cold with like colors. For a long lasting product, only use nonchlorine bleach when needed and can be dried in a dryer. We suggest hang drying our products to keep the first as new as possible.']",['New Balance Unisex Grid Fleece Headband is engineered with comfort and performance in mind. The unique 3D stretch fabric blend allows for total freedom of movement while moving moisture away from the skin quickly for fast drying. These performance accessories feature our New Balance dry and New Balance fresh technology and is your new go-to accessory for any activity.'],14.98,New Balance,[],"{'Item Package Dimensions L x W x H': '12.01 x 4.29 x 0.55 inches', 'Package Weight': '0.04 Kilograms', 'Brand Name': 'New Balance', 'Color': 'Black', 'Material': 'Polyester', 'Number of Items': '1', 'Manufacturer': 'Terramar Sports', 'Size': 'One Size', 'Sport Type': 'Cycling, Skiing, Climbing, Running', 'Date First Available': 'December 18, 2019', 'Age Range (Description)': 'Adult', 'Fabric Type': 'polyester,polyester blend'}",B082XHLYZ5
